id,token,user_id_from_filename,label,root_time_unix,root_likes,root_comments,root_reposts,cascade_size,forward_count_estimated,propagation_depth,depth_mean,depth_median,max_breadth,time_to_root_min_s,time_to_root_median_s,time_to_root_mean_s,time_to_root_max_s,virality_score_mean_depth,repost_file_found
0,yBmepBtUB,2279086572,rumor,1347334462,0,55,225,205,152,7,1.556098,1.000000,152,28886.000000,40554.000000,61000.541463,473449.000000,1.556098,True
1000,yFDQ0ffqy,2082357197,rumor,1349768694,0,170,395,372,230,6,1.505376,1.000000,230,28822.000000,37262.500000,131612.698925,3955608.000000,1.505376,True
1002,zne7v6NMq,2464670392,rumor,1363146924,0,466,685,646,557,3,1.140867,1.000000,557,29028.000000,42988.000000,255972.987616,6483248.000000,1.140867,True
1003,AcDAZonRf,1603208240,rumor,1380971862,6,15,120,111,17,2,1.845455,2.000000,93,29065.000000,39064.000000,53085.774775,811732.000000,1.845455,True
1004,zvUcLCeTm,3186420187,rumor,1368078370,11,78,532,460,212,9,2.300000,2.000000,212,29084.000000,96014.500000,100048.052174,1311504.000000,2.300000,True
1007,z6xXucI9F,2131611617,rumor,1353669030,0,1,157,146,52,7,2.609589,2.000000,52,29463.000000,164678.500000,165505.226027,2074245.000000,2.609589,True
1008,z5c9Ugjyg,1852829134,rumor,1352901024,3,44,929,893,654,4,1.322508,1.000000,654,28822.000000,39620.000000,348534.845465,11496527.000000,1.322508,True
100,yFMB95IXW,1887156845,rumor,1349848979,1,246,700,616,305,9,2.235390,2.000000,305,32766.000000,51015.500000,68682.675325,2571788.000000,2.235390,True
1012,A2IxgnXT7,2158772060,rumor,1375334952,7,74,243,205,80,2,1.609756,2.000000,125,28871.000000,41750.000000,87161.858537,3560565.000000,1.609756,True
1013,zcff61hnR,2159055612,rumor,1356906812,0,46,166,129,92,4,1.395349,1.000000,92,28856.000000,34739.000000,37487.612403,183772.000000,1.395349,True
1015,zsZsVySOR,1439563882,rumor,1366421931,9,134,705,694,427,5,1.554755,1.000000,427,28890.000000,31372.000000,85344.283862,5058415.000000,1.554755,True
1018,ynh4iEPSN,2154711647,rumor,1339332089,0,25,114,111,62,4,1.567568,1.000000,62,28877.000000,100700.000000,1117637.055046,9782810.000000,1.567568,True
1019,z9zuvc326,2687581863,rumor,1355387731,0,72,585,568,329,8,1.779930,1.000000,329,29170.000000,174130.500000,402430.142606,8976919.000000,1.779930,True
101,zfvF1ziAY,1891137152,rumor,1358761934,1,36,251,231,175,4,1.290043,1.000000,175,28853.000000,32042.000000,113624.558442,3009386.000000,1.290043,True
