actual_cascade_size,avg_time_from_root,cascade_size,early_propagation_intensity,exclamation_count,forward_count,has_hashtag,has_mention,has_url,interaction_rate,is_rumor,like_count,like_forward_ratio,max_time_from_root,median_time_from_root,microblog_id,min_time_from_root,original_forward_count,original_reply_count,original_text,original_time,propagation_activity,propagation_breadth,propagation_depth,propagation_duration,propagation_efficiency,propagation_speed,question_count,reply_count,reply_forward_ratio,std_time_from_root,text_length,virality_score
122,12.191571038251366,122,72,0,31,0,0,0,1.0,True,0,0.0,254.68722222222223,2.2404166666666665,905_yn7UhByUO_2399471671,0,131,15,北京开车族注意：今天下午六点开始，全市高清探头全部启用，副驾驶不系安全带相同处罚，开车时打电话罚款50元，闯黄闪罚款200，越线停车罚款100， 晚六点至深夜2点，为期60天的全国交警集中查处酒驾，一经查获，一律拘役六个月，五年内不得考证。请相互转告。  ​,Sat Jun 09 21:22:06 +0800 2012,0.47901892735533996,33.87326157106069,5,254.68722222222223,24.4,10.006913761747512,0,91,2.935483870967742,33.87326157106069,129,2.9787
192,3.004168113425926,192,0,5,38,0,1,0,1.0,True,0,0.0,105.85027777777778,0.40208333333333335,1382_yBNNyCLvd_1945139410,0,195,59,"【反日，不要坑同胞】据重庆商报,网友@重庆莫若 说:他的日产越野车停沙坪坝被""爱国青年""下螺丝,比砸车还吓人.""这些疯狂又愚蠢的傻货!!!要是车主是个毫无经验的新手未能及时发现咋办?这可真的能要人命啊!!""不仅是车主遭殃,路人也会遭殃… 【魔都人民请注意,我们有各自抵制的义务,但没有彼此损坏的权利】",1347587108,1.8138828166618992,12.644861991082614,3,105.85027777777778,64.0,63.91120361804418,1,154,4.052631578947368,12.644861991082614,150,3.2046
388,10.809272896927936,388,0,3,307,0,0,0,1.0,False,128,0.4169381107491857,1310.3458333333333,0.6083333333333333,4861_AA4tq6Ywg_1731986465,0,394,101,【一图教你飞机自救逃生！】据新华网：澳大利亚一位教授研究了1983-2000年间105次坠机事件2000多名幸存者的受访记录，总结出6条自救方法：①别与家人分开；②学会解安全带；③距离逃生口近；④背朝飞行方向；⑤带上防烟口罩；⑥听乘务员讲解。紧急情况下它们能救命！扩散！,1394287212,0.29610503588429266,73.69360845992834,5,1310.3458333333333,77.6,35.89510633136777,0,81,0.26384364820846906,73.69360845992834,135,4.4837
607,15.976367838184148,607,0,0,127,0,0,0,1.0,False,9,0.07086614173228346,2772.4269444444444,2.209722222222222,3388_yyQ4ApK0p_1650562927,0,648,238,“这是一场不可能赢的比赛”。这是教练组、德罗巴、阿内尔卡赛后反复说的一句话。他们什么大赛没经历过，不会因为一场比赛出离愤怒。究竟是为什么？我们也不知该如何和他们解释。这是大伙玩命拼下的一分，但或许已经是最好的结果了……,1345903300,0.21894174748818648,142.845302748012,8,2772.4269444444444,75.875,37.993616956492836,1,480,3.779527559055118,142.845302748012,109,4.3554
426,37.840317553468964,426,0,0,148,0,0,0,1.0,False,0,0.0,2992.6380555555556,1.8415277777777779,3080_ywgyssbwr_1639483893,0,432,58,Chow Kar Hoo拍的一组“Heroes Next Door”（英雄在香港）的照片，Madam，太帅了~,1344441347,0.14234932260156566,228.45710774356183,8,2992.6380555555556,53.25,11.257833642597086,0,278,1.8783783783783783,228.45710774356183,55,3.8471
186,141.1303614097969,186,0,0,115,0,0,0,1.0,True,11,0.09565217391304348,4885.26,3.372361111111111,366_zte8Maki4_1943337341,0,200,36,感动，地震发生期间一位警察救起了一只压在木板下的一只大熊猫当警察准备离开时熊猫死死地抱住警察叔叔的腿。如果你感动了，请转发一下把。地震无情人有情，为雅安祈福。,1366556423,0.0380737156261898,619.5040236899214,2,4885.26,93.0,1.3179304448878735,0,71,0.6173913043478261,619.5040236899214,79,3.5871
164,19.64702574525745,164,0,0,104,1,0,0,1.0,False,11,0.10576923076923077,703.9891666666666,0.7609722222222222,3003_zkIagzpLT_1193725273,0,173,34,#夜读#当一些人著书立说或强闻博记的时候，我却花了3年时间四处游荡，千方百计忘掉头脑里所学的东西。这样忘掉所学的知识，既缓慢，又困难。但这种忘记，比人们灌输给我们的所有知识都更有用，可以算得上一种开蒙。——（法）安德烈.纪德《人间食粮》,1361717623,0.2329581302742585,93.98244962143607,2,703.9891666666666,82.0,8.347319442974088,0,60,0.5769230769230769,93.98244962143607,118,3.5444
266,80.09642961570593,266,0,2,142,0,0,0,1.0,False,1,0.007042253521126761,1145.026111111111,66.42388888888888,3412_z4ojH46Vm_2051454574,0,275,42,【什么才是标准金牛座】1、没事爱抽风，易伤人，还后悔。2、总纠结，不听劝，死倔。3、大事谨慎，小事糊涂，聪明内敛。4、爱装，装坚强，装深沉，装成熟。5、对爱的人很好，柔情似水。6、喜欢音乐，幻想浪漫，更重现实。7、心太软，志不坚。8、生气后，很恐怖！杀气啊！   ,1352444229,0.232309112795584,121.03120908793608,3,1145.026111111111,88.66666666666667,3.320996969231206,0,124,0.8732394366197183,121.03120908793608,132,3.5895
456,29.881761695906434,456,0,0,180,0,0,0,1.0,False,25,0.1388888888888889,1103.2183333333332,9.382777777777779,3582_zsawAgM9x_3009534122,0,491,234,不计前嫌，继续溜粉，[爱你]发一张刘忻在星跳水立方比赛倒立的图，很笔直，对不咯？4月21日周日晚上22点收看江苏卫视《星跳水立方》，将会有刘忻的精彩表现，那神马VCR比我发的图还虐心，自己准备好纸巾，别怪我没有提醒,1365955064,0.41333613322234497,102.91715955726104,3,1103.2183333333332,152.0,15.260144453346216,1,276,1.5333333333333334,102.91715955726104,107,4.3213
166,52.66668005354752,166,0,1,98,0,0,1,1.0,False,1,0.01020408163265306,2625.5455555555554,1.2784722222222222,4651_z4lV5k4hc_1718455577,0,171,55,【红色穿搭志】在这寒冷的秋冬给自己添点好运吧！[耶]来这学搭配>>>http://t.cn/zjvepD5  ,1352422262,0.0632249551521779,296.7844193326345,1,2625.5455555555554,166.0,3.1518979330237578,0,68,0.6938775510204082,296.7844193326345,55,3.2238
